hm,vol,volume,mean_r,n,vol_bp
157,0.00019164114160893865,66.02543234994914,1.344309008218632e-07,983,1.9164114160893866
158,0.0001952401448794314,66.44297352342159,1.3610253399871978e-05,982,1.952401448794314
159,0.00020543347525144574,76.09766022380468,4.93787276319447e-06,983,2.0543347525144573
200,0.0003269645863910222,180.5381485249237,-4.7986111268449496e-05,983,3.2696458639102217
201,0.0003119800936129554,140.23499491353002,-1.6961703028409796e-05,983,3.119800936129554
202,0.00027607298304308284,125.38962360122075,-5.2276188012396905e-06,983,2.7607298304308285
203,0.00026343698681102664,119.3204476093591,-5.803097140241988e-06,983,2.6343698681102663
204,0.00027167388507590054,110.94913530010173,-4.787475171512676e-06,983,2.7167388507590053
205,0.00028255065905509144,117.48016276703967,-7.082275278120586e-07,983,2.8255065905509142
206,0.000272301804175735,109.94506612410987,8.033083531969213e-06,983,2.7230180417573497
207,0.0002566594695631227,103.51271617497457,1.6873736871310484e-06,983,2.566594695631227
208,0.00022982515410565328,94.54730417090539,-3.911626436990892e-06,983,2.298251541056533
209,0.0002115258778385465,92.24008138351984,-1.8898556555258345e-06,983,2.115258778385465
210,0.0002593945510363275,99.72227873855545,-8.005234059824284e-06,983,2.593945510363275
211,0.00024550520859891443,97.13021363173958,8.015571649585324e-06,983,2.4550520859891445
212,0.0002482827400521123,96.05391658189217,5.3650467517395014e-06,983,2.4828274005211233
213,0.00020431789716896797,90.75686673448627,5.865731913497372e-06,983,2.0431789716896795
214,0.00020867106743370866,88.16683621566632,-5.629692076075535e-06,983,2.0867106743370867
215,0.0002524804238919003,107.46592065106816,-1.961785725022314e-06,983,2.524804238919003
216,0.0003091196092848889,99.67751780264497,1.5966864592871316e-05,983,3.0911960928488886
217,0.00023539367804065016,95.13936927772126,-1.0262301089061057e-05,983,2.3539367804065017
218,0.00022392386850275927,94.99186164801628,5.2353930369747965e-06,983,2.2392386850275927
219,0.00023132590473299355,89.66022380467955,1.4348970327904344e-05,983,2.3132590473299355
220,0.00024024776393754578,101.42115971515769,2.3570456055620642e-05,983,2.4024776393754577
221,0.0002289026035110413,94.83926754832146,-1.2000631939161028e-05,983,2.289026035110413
222,0.00020652801841801815,89.12410986775178,-3.0006539485300975e-06,983,2.0652801841801813
223,0.0002283182930650901,86.11698880976603,-1.1806954586642905e-05,983,2.283182930650901
224,0.00020607424569897938,89.38250254323499,6.100971333006182e-06,983,2.060742456989794
225,0.00022586929918122798,93.58189216683621,-1.0250154948544494e-06,983,2.25869299181228
226,0.0002248870196694779,88.76093591047812,7.002237134959619e-06,983,2.2488701966947793
227,0.0002148562405511543,84.95727365208545,1.1084628422334536e-05,983,2.148562405511543
228,0.0002161268651268465,89.7090539165819,5.460174395950968e-06,983,2.1612686512684647
229,0.0002100108901952127,85.63275686673448,-8.537347206440998e-06,983,2.1001089019521273
230,0.00023818606826374236,120.46592065106816,1.0269311741189057e-05,983,2.3818606826374236
231,0.0002456792650986106,100.35808748728383,-6.8117642010713394e-06,983,2.456792650986106
232,0.00022891776777548187,96.91454730417091,1.8268718191811763e-06,983,2.2891776777548185
233,0.0002523084972566411,96.01220752797559,-3.6068277355206947e-06,983,2.5230849725664113
234,0.00022299887269386443,87.49847405900306,-7.419326308331579e-06,983,2.2299887269386445
235,0.0002299142295651707,95.66327568667344,6.605216015933788e-06,983,2.299142295651707
236,0.0002069056874162027,92.13733468972534,7.225496213285889e-06,983,2.069056874162027
237,0.0002248322028500242,90.60488798370672,2.7956079347282367e-06,982,2.248322028500242
238,0.00021842942889251674,90.029501525941,1.8628855083206589e-06,983,2.1842942889251673
239,0.00019747114665879357,84.12512716174975,6.277495205403184e-06,983,1.9747114665879357
240,0.0002124368500857146,94.40793489318413,6.8710528162181306e-06,983,2.124368500857146
241,0.0002234807447029989,88.90844354018311,-8.996397406412072e-06,983,2.234807447029989
242,0.0002009026435132901,88.42828077314344,1.6348183372346906e-05,983,2.0090264351329012
243,0.00019027827549375083,82.01831129196337,2.125617607898689e-06,983,1.9027827549375083
244,0.00019911067679782323,83.93285859613428,9.972681868791738e-06,983,1.9911067679782322
245,0.0002538869579458296,107.24720244150559,-6.492327397564662e-06,983,2.5388695794582956
246,0.00021197834090608272,90.81383519837233,-2.096449779607682e-06,983,2.1197834090608274
247,0.00021845607987707277,86.57884028484231,7.642578764838673e-07,983,2.1845607987707276
248,0.00019963407402687886,85.09867751780264,-1.7508708017826442e-06,983,1.9963407402687885
249,0.00020419564355118156,84.65005086469989,-6.420651862281263e-06,983,2.041956435511816
250,0.00021558844765559733,91.12410986775178,-5.505070962191449e-06,983,2.1558844765559733
251,0.00022669011186698682,86.26958290946084,-2.8897192085131773e-06,983,2.2669011186698684
252,0.00019647149333341149,84.91047812817905,9.477053543061663e-06,983,1.964714933334115
253,0.00020352769962441215,81.27568667344863,2.906403095315168e-07,983,2.0352769962441215
254,0.00020936305777388312,82.71515768056969,2.803521369855468e-06,983,2.093630577738831
255,0.00023201255518762856,92.99491353001017,-5.306657326006946e-06,983,2.3201255518762856
256,0.00020661825985583527,88.50661241098678,8.633410550967255e-06,983,2.0661825985583526
