d,gap,atr,g_atr,t_fill,t_onh,t_onl,t_pdh,t_pdl,open_in_on,open_in_pd,r_first30,r_1000_1530,r_last30,r_1530,r_rest,year
80,25.75,134.39285714285714,0.1916024448578262,995.0,930.0,1089.0,930.0,,True,False,0.000877444667605053,0.0014157862505461442,0.00013473230395768678,0.004033522475975427,0.0015505185545038717,2021
81,94.75,137.46428571428572,0.6892699402442193,996.0,930.0,1002.0,930.0,,True,False,-0.0023789989273124844,-0.002334232820531867,8.405974971962764e-05,0.0016489991958066675,-0.0022501730708123185,2021
82,-208.25,129.75,-1.605009633911368,,,949.0,,930.0,True,False,0.0030303053491790633,0.003715741866062048,0.001996380110495919,-0.007356696358685955,0.005712121976557961,2021
83,-29.25,126.0,-0.23214285714285715,949.0,1008.0,,1013.0,,True,True,0.001235497868105291,0.006961269336073169,-0.0003191909376874213,0.00621732232489144,0.006642078398385785,2021
84,60.5,129.03571428571428,0.4688624411846112,961.0,932.0,,930.0,,True,False,-0.002815298303493167,0.0022461749055299614,0.0004185046054737722,0.003488765698966593,0.00266467951100374,2021
85,-15.5,121.94642857142857,-0.12710499341045542,931.0,960.0,,947.0,,True,True,0.004079659222193344,-0.0025562001739305026,-0.0007028465573736211,0.00048524602088287404,-0.0032590467313041755,2021
86,103.75,121.19642857142857,0.8560483276852807,1078.0,930.0,,964.0,,True,True,-0.0016139099214624762,-0.0025843469737056863,-0.0007682544301972679,0.0027249567578304388,-0.0033526014039029182,2021
87,-1.5,124.76785714285714,-0.012022327179046801,930.0,,931.0,,931.0,True,True,0.0,-0.008305486547158646,0.0014311091853148068,-0.008405737173809064,-0.006874377361843769,2021
88,39.25,131.85714285714286,0.297670639219935,969.0,931.0,1024.0,,1066.0,True,True,-0.0008393628050754624,-0.008991667851827338,-0.0007289433187946037,-0.007193060866757427,-0.009720611170621927,2021
89,-144.5,141.58928571428572,-1.0205574473451884,,,933.0,,930.0,True,False,-0.0031046603382011116,-0.0013753032132188103,0.006174023625105948,-0.014330245142961372,0.004798720411887117,2021
90,38.0,141.625,0.26831421006178285,932.0,1007.0,931.0,930.0,,True,False,-0.00039229398672966363,0.01283144570254046,-0.0038135782440727106,0.015034559985673003,0.009017867458467653,2021
91,-16.5,153.73214285714286,-0.10732953885468695,932.0,987.0,,1029.0,,True,True,0.003649207475812622,0.0025263596823720926,0.002318627336677506,0.005059118026722337,0.00484498701904961,2021
92,12.0,159.57142857142858,0.07520143240823635,,936.0,,930.0,,True,False,0.0025455959886912017,0.0033396260604972605,6.667889115467797e-05,0.0066904426056885475,0.0034063049516521423,2021
93,56.75,159.01785714285714,0.35687815833801234,,998.0,930.0,930.0,,True,False,-0.0005980066623395144,0.007795794023138291,0.00028024364895779886,0.010974547334272985,0.00807603767209627,2021
94,-23.25,164.25,-0.1415525114155251,957.0,960.0,,970.0,,True,True,0.001583505485524392,0.0015151767585241008,-0.00036211607861869283,0.0015646233685570933,0.001153060679905548,2021
95,-11.75,159.17857142857142,-0.07381646847655374,,,944.0,,958.0,True,True,-0.004127393553079845,-0.008740065273729903,0.0026000881343702007,-0.013641510035180769,-0.006139977139359522,2021
96,48.0,171.69642857142858,0.27956318252730106,937.0,931.0,,,,True,True,-0.0012950573793625826,0.0033835366984244666,-0.0015742424104031648,0.005279334914769633,0.0018092942880215,2021
97,-22.75,168.73214285714286,-0.1348290824425865,932.0,934.0,,946.0,,True,True,0.004705891037412714,-0.0013564707378442363,9.931637238562042e-05,0.0018391343029489815,-0.0012571543654586357,2021
98,-166.25,164.28571428571428,-1.0119565217391304,,947.0,,,930.0,True,False,0.005274678807055585,6.659008809005378e-05,0.0003828069784192177,-0.005726774554648276,0.00044939706650928146,2021
99,73.0,166.26785714285714,0.43905058532918056,944.0,,936.0,930.0,,True,False,-0.0034338357466701303,-0.001197146943101687,-0.00021630435771227406,0.00021630435771218489,-0.0014134513008139664,2021
100,31.25,163.26785714285714,0.19140325932407307,935.0,930.0,953.0,,955.0,True,True,-0.005411583977447258,0.008859691765251495,0.0003970945964587342,0.005526021977897048,0.00925678636171011,2021
101,0.75,168.05357142857142,0.004462862607586867,930.0,1141.0,980.0,930.0,,True,True,0.0007771485654253398,0.0011398271670413612,-0.0003137358534993556,0.0019666014716935285,0.0008260913135420128,2021
102,32.5,162.125,0.2004626060138782,,947.0,,935.0,,True,True,0.0014985223424518201,0.0012169252763943976,0.0015436916996487999,0.004860096718557804,0.0027606169760428716,2021
103,-57.0,153.96428571428572,-0.37021572720946416,,,1010.0,,1015.0,True,True,0.00016469851973257267,-0.0012523895908922702,0.0002308212299830809,-0.0048360925271109636,-0.0010215683609092173,2021
104,19.25,152.05357142857142,0.12660011743981212,936.0,930.0,,,,True,True,-0.00041169544999318037,0.0012345782191811284,-0.000345528291509563,0.002091448060357902,0.000889049927671528,2021
105,21.75,138.53571428571428,0.15699922660479507,934.0,931.0,990.0,930.0,992.0,True,True,0.0001971770820894799,-0.006444776260763822,-0.00023153124948390154,-0.004816901428487454,-0.006676307510247635,2021
106,52.0,140.14285714285714,0.37104994903160043,971.0,934.0,1031.0,,1022.0,True,True,-0.002690369939134672,-0.002449075374806898,8.283700167925008e-05,-0.0017050584761030805,-0.0023662383731276704,2021
107,-22.25,144.76785714285714,-0.15369433822622425,990.0,995.0,930.0,,936.0,True,True,-0.0016438769300063099,0.0071370325883490715,-0.00041259232338407883,0.004017630045587132,0.006724440264964984,2021
108,12.75,142.35714285714286,0.08956347215253387,932.0,946.0,,930.0,,True,True,0.0006759931998599933,0.0007743572809936814,0.0010041235750968673,0.0022918583144588686,0.001778480856090497,2021
109,-46.5,140.91071428571428,-0.3299961982004816,1315.0,1312.0,950.0,,949.0,True,True,-0.003190217177368705,0.005662650815826605,0.0011023817495803602,-0.000592475577714401,0.006765032565406772,2021
110,-117.0,132.83928571428572,-0.8807635434870278,,,930.0,,1122.0,True,True,-0.002688262878119089,-9.970421092379036e-05,0.0016936211002058015,-0.010513709991377372,0.0015939168892819585,2021
111,-21.75,131.98214285714286,-0.16479502097145177,931.0,956.0,1213.0,,1308.0,True,True,0.002969502592661458,-0.0050317704869392976,-0.006111937266845196,-0.0035066471039398336,-0.011143707753784551,2021
112,-81.75,138.64285714285714,-0.589644513137558,971.0,978.0,,,930.0,True,False,0.0018677912494840263,0.01133355494340604,-0.0028463727988677716,0.007708903371286895,0.008487182144538356,2021
113,44.5,147.30357142857142,0.302097223905928,,932.0,,945.0,,True,True,0.004477322417156526,0.002742805989027814,6.599897703980139e-05,0.010182846951499678,0.0028088049660676753,2021
114,43.5,148.85714285714286,0.29222648752399233,,932.0,,930.0,,True,False,0.005054411206785954,0.007615263995021821,-0.000942645001459519,0.015536422914416634,0.0066726189935622775,2021
115,27.0,149.69642857142858,0.18036502445425265,,,,930.0,,True,True,-4.8696160317400776e-05,0.0023995212472907763,-0.0008748339993521132,0.00410538251145036,0.00152468724793879,2021
116,9.25,146.58928571428572,0.06310147399196005,968.0,936.0,1010.0,931.0,,True,True,0.0007610165605019641,-0.0007124237279352395,-0.00022678675662547,0.000648098663298357,-0.0009392104845606945,2021
117,-27.0,144.07142857142858,-0.18740704015865145,966.0,,986.0,,960.0,True,True,-3.24591015349241e-05,-0.0030721490990816523,-0.0009120818899991827,-0.004855836940238412,-0.0039842309890808295,2021
118,27.25,144.57142857142858,0.1884881422924901,,962.0,,962.0,,True,True,0.0003903010246160401,0.008467697868587724,-0.0008548456556508581,0.010632535578129819,0.007612852212936855,2021
119,31.0,150.80357142857142,0.20556542332741268,,930.0,,930.0,,True,False,0.004739383434433787,0.005163591448441122,-0.0006858765531624811,0.011901847153153516,0.004477714895278544,2021
120,8.25,150.78571428571428,0.0547134059687352,930.0,,931.0,,,True,True,-0.0052606032687142635,0.0029774790282121816,0.0008148592422125205,-0.001756711887964459,0.003792338270424776,2021
