sym,tend_estricta,tp,ema_exit,entrada,modo,trades,por_dia,p_tp_5min,wr_neto,gan_media,perd_media,peor,pf,exp_pts,exp_usd,exp_bruto,DEV_exp_usd,DEV_wr,DEV_ptp,DEV_t,VAL1_exp_usd,VAL1_wr,VAL1_ptp,VAL1_t,VAL2_exp_usd,VAL2_wr,VAL2_ptp,VAL2_t
NQ,True,relleno,EMA50,cierre,VI usuario,12041,3.138946819603754,0.7399717631425962,0.5835063532929159,3.6863808710503845,-6.65145962113659,-524.788,0.7764624410956958,-0.6192640146167262,-12.385280292334524,-0.016256955402375216,-12.809905838041438,0.43050847457627117,0.7096045197740113,-14.920125838388298,-5.114313619099294,0.6690179055887141,0.7704829083016821,-1.3028196152050282,-14.665482815057278,0.7174713584288053,0.7614566284779051,-3.223797510129875
NQ,True,relleno,EMA50,cierre,NULO (sin VI),22099,5.760948905109489,0.7143309652020453,0.7109823973935472,1.56410018701977,-6.562134188738532,-110.538,0.5863460654172675,-0.7845245904800392,-15.690491809600784,-0.17510733178055027,-15.835452647714499,0.6056387665198237,0.6031718061674008,-28.453197579552103,-19.21828527634758,0.7736625514403292,0.7834757834757835,-7.584191891769584,-14.005431852546256,0.8424242424242424,0.8517786561264822,-6.0163514310688315
NQ,True,relleno,EMA50,open sig.,VI usuario,12041,3.138946819603754,0.7399717631425962,0.5791877751017357,3.698987381703471,-6.602288533649101,-521.288,0.7711154214009079,-0.6359154555269496,-12.718309110538993,-0.03290839631259862,-13.15359698681733,0.4274952919020716,0.7096045197740113,-15.320612979553452,-5.472425393380357,0.6701030927835051,0.7704829083016821,-1.3990109326079876,-14.9774713584288,0.7096972176759411,0.7614566284779051,-3.3018833289196285
NQ,True,relleno,EMA50,open sig.,NULO (sin VI),22099,5.760948905109489,0.7143309652020453,0.6569980542105978,1.6970378496855631,-5.566985681346052,-110.538,0.583900603335535,-0.7945363557182852,-15.890727114365703,-0.18511909701879634,-15.935452647714499,0.5768281938325991,0.6031718061674008,-28.727100339366853,-19.492106105723966,0.7258626147515036,0.7834757834757835,-7.713827997898091,-14.324931193784726,0.7482213438735178,0.8517786561264822,-6.163157270065676
NQ,True,relleno,ambas,cierre,VI usuario,12041,3.138946819603754,0.7399717631425962,0.5835063532929159,3.6863808710503845,-6.65145962113659,-524.788,0.7764624410956958,-0.6192640146167262,-12.385280292334524,-0.016256955402375216,-12.809905838041438,0.43050847457627117,0.7096045197740113,-14.920125838388298,-5.114313619099294,0.6690179055887141,0.7704829083016821,-1.3028196152050282,-14.665482815057278,0.7174713584288053,0.7614566284779051,-3.223797510129875
NQ,True,relleno,ambas,cierre,NULO (sin VI),22099,5.760948905109489,0.7143309652020453,0.7109823973935472,1.56410018701977,-6.562134188738532,-110.538,0.5863460654172675,-0.7845245904800392,-15.690491809600784,-0.17510733178055027,-15.835452647714499,0.6056387665198237,0.6031718061674008,-28.453197579552103,-19.21828527634758,0.7736625514403292,0.7834757834757835,-7.584191891769584,-14.005431852546256,0.8424242424242424,0.8517786561264822,-6.0163514310688315
NQ,True,relleno,ambas,open sig.,VI usuario,12041,3.138946819603754,0.7399717631425962,0.5791877751017357,3.698987381703471,-6.602288533649101,-521.288,0.7711154214009079,-0.6359154555269496,-12.718309110538993,-0.03290839631259862,-13.15359698681733,0.4274952919020716,0.7096045197740113,-15.320612979553452,-5.472425393380357,0.6701030927835051,0.7704829083016821,-1.3990109326079876,-14.9774713584288,0.7096972176759411,0.7614566284779051,-3.3018833289196285
NQ,True,relleno,ambas,open sig.,NULO (sin VI),22099,5.760948905109489,0.7143309652020453,0.6569980542105978,1.6970378496855631,-5.566985681346052,-110.538,0.583900603335535,-0.7945363557182852,-15.890727114365703,-0.18511909701879634,-15.935452647714499,0.5768281938325991,0.6031718061674008,-28.727100339366853,-19.492106105723966,0.7258626147515036,0.7834757834757835,-7.713827997898091,-14.324931193784726,0.7482213438735178,0.8517786561264822,-6.163157270065676
ES,False,borde,EMA20,cierre,VI usuario,5747,1.4981751824817517,0.6887071515573343,0.4221332869323125,0.7792765045342127,-1.4521467028003614,-42.1152,0.3920152933932117,-0.5101886897511745,-25.509434487558725,-0.06716547764050809,-22.57001529051987,0.30466360856269115,0.6750764525993884,-23.418885624786924,-21.851314031180394,0.4621380846325167,0.7160356347438753,-6.174002266432341,-30.424128974473795,0.5436632333184057,0.6936856247201075,-9.70742141182014
ES,False,borde,EMA20,cierre,NULO (sin VI),25746,6.711678832116788,0.4480696030451332,0.48994018488308866,0.8143950502022888,-1.9642328967407883,-42.1152,0.3982576233665139,-0.6028714066941799,-30.143570334708997,-0.09968880745546344,-31.03906256193472,0.36618867924528303,0.3100377358490566,-57.917883603446526,-28.0586648650093,0.5609226594301221,0.5237449118046132,-16.278366389747262,-29.668891483852416,0.6463511519691295,0.6239927363522869,-20.25959838748183
ES,False,borde,EMA20,open sig.,VI usuario,5747,1.4981751824817517,0.6887071515573343,0.43031146685227073,0.7704651839870602,-1.4970723274282225,-41.8652,0.3887368194179362,-0.5213249347485643,-26.066246737428216,-0.07830172263789803,-23.94138379204892,0.3081039755351682,0.6750764525993884,-24.871943242165536,-22.018351893095762,0.47884187082405344,0.7160356347438753,-6.251527237329015,-30.183421406180024,0.5539632781012092,0.6936856247201075,-9.655398216675186
ES,False,borde,EMA20,open sig.,NULO (sin VI),25746,6.711678832116788,0.4480696030451332,0.4792977549910666,0.8195931307870882,-1.9211626488632711,-41.8652,0.392690251365639,-0.6075245566980635,-30.376227834903176,-0.10434195745934693,-30.887364448727112,0.35924528301886793,0.3100377358490566,-57.737573085388654,-28.48946540775013,0.544640434192673,0.5237449118046132,-16.564758544248388,-30.396674936354973,0.6325048235160595,0.6239927363522869,-20.791185876092445
ES,False,borde,EMA50,cierre,VI usuario,5745,1.4976538060479667,0.727763272410792,0.4550043516100957,0.7878221882172918,-1.604819929734909,-100.3652,0.4098495047815079,-0.5161573542210617,-25.807867711053085,-0.08289817232375979,-21.43278287461773,0.32989296636085624,0.7152140672782875,-19.832965538061124,-21.378040089086856,0.5,0.7505567928730512,-5.6277477183545,-32.72100403406544,0.5835948005378754,0.7333034513671,-8.04582394186079
