label,n,wr,exp_pts,avg_win,avg_loss,pf,total_pts,t,max_dd_pts,params,exp_A,wr_A,n_A,exp_B,wr_B,n_B,DEV_n,DEV_atr%,DEV_t,DEV_wr,DEV_costo%,VAL1_n,VAL1_atr%,VAL1_t,VAL1_wr,VAL1_costo%,VAL2_n,VAL2_atr%,VAL2_t,VAL2_wr,VAL2_costo%,fam,wr_bruto,wr_nulo,exceso_wr,p_binom,gap_atr,stop_x_gap,tgt_x_gap,salida,modo,nivel,dist_atr,stop_atr,tgt_atr,cancel
F1_gap_go,706,0.5198300283286119,-7.755665722379604,74.2425068119891,-96.52654867256638,0.8326686530674612,-5475.5,-1.4586212169318218,8034.5,"{""gap_atr"": ""0.6-3"", ""stop_x_gap"": 2.0, ""tgt_x_gap"": 1.0, ""salida"": 1559, ""modo"": ""go""}",12.635057471264368,0.5747126436781609,87,-8.095360824742269,0.5154639175257731,97,336,-3.2839476716624496,-0.814263200558004,0.5148809523809523,2.026798253291142,130,5.651226988588276,0.8792895514020044,0.6,0.703265478899579,240,-9.906655335523824,-1.9542807667017792,0.48333333333333334,0.336551964933659,F1_gap_go,0.5198300283286119,0.6666666666666666,-0.14683663833805471,8.385826509276366e-16,0.6-3,2.0,1.0,1559.0,go,,,,,
F2_fade_ONH,1559,0.6074406670942912,-0.9294030055896548,6.700399758636296,-12.735650093370658,0.8141007459284164,-1448.9392857142718,-2.892871654696326,1448.9392857142716,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.1, ""tgt_atr"": 0.05, ""cancel"": 1200}",-0.5234983766233628,0.6313131313131313,198,-1.045838870431891,0.6372093023255814,215,848,-0.8549528301886731,-3.400393554121747,0.6096698113207547,1.9821176269346437,205,-1.731707317073166,-3.3152710580012896,0.551219512195122,0.6539834442266899,506,-0.6027667984189631,-1.8667825652538077,0.6264822134387352,0.33937517721524024,F2_fade_ONH,0.6074406670942912,0.6666666666666666,-0.0592259995723754,9.833512138372774e-07,,,,,,ONH,0-0.25,0.1,0.05,1200.0
F2_fade_ONH,1673,0.6060968320382546,-0.9355056143796345,6.702883734854889,-12.688657056145654,0.8128278344910194,-1565.1008928571287,-3.016599073273625,1565.1008928571282,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.1, ""tgt_atr"": 0.05, ""cancel"": 1500}",-0.9590078437917148,0.6214953271028038,214,-1.1125078665827473,0.6343612334801763,227,918,-0.8666670201522076,-3.584967584128235,0.6089324618736384,1.9841159731558793,219,-1.7123287671232832,-3.3897099054904314,0.5525114155251142,0.6509628161095465,536,-0.6529850746268563,-2.077804862028585,0.6231343283582089,0.3378590628748569,F2_fade_ONH,0.6060968320382546,0.6666666666666666,-0.060569834628412034,2.369767842036046e-07,,,,,,ONH,0-0.25,0.1,0.05,1500.0
F2_fade_ONH,1559,0.4663245670301475,-0.6418193897186782,13.400397917076047,-12.911881868131855,0.9068578886897141,-1000.5964285714194,-1.4466108724744682,1435.9321428571282,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.1, ""tgt_atr"": 0.1, ""cancel"": 1200}",-0.46314935064934953,0.4797979797979798,198,-0.5846096345515022,0.4883720930232558,215,848,-0.7075471698113074,-2.0643670690077163,0.46462264150943394,1.9821176269346437,205,-1.51219512195122,-2.18497338847815,0.424390243902439,0.6539834442266899,506,-0.2766798418972295,-0.6219987351406455,0.48616600790513836,0.33937517721524024,F2_fade_ONH,0.4663245670301475,0.5,-0.03367543296985248,0.008418588057879747,,,,,,ONH,0-0.25,0.1,0.1,1200.0
F2_fade_ONH,1673,0.46682606096832036,-0.5678848945435856,13.428534845436255,-12.822597693786026,0.9169355130813616,-950.0714285714188,-1.3250204239710266,1444.9571428571296,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.1, ""tgt_atr"": 0.1, ""cancel"": 1500}",-0.6480307076101511,0.4766355140186916,214,-0.7298772813089983,0.4845814977973568,227,918,-0.6542487194986061,-1.9853160213441232,0.4673202614379085,1.9841159731558793,219,-1.5610191265497706,-2.33871153141858,0.4200913242009132,0.6509628161095465,536,-0.2880838968739039,-0.6671183877495399,0.48507462686567165,0.3378590628748569,F2_fade_ONH,0.46682606096832036,0.5,-0.033173939031679645,0.0071415633628250505,,,,,,ONH,0-0.25,0.1,0.1,1500.0
F2_fade_ONH,1559,0.3335471456061578,0.4210150737652337,27.082424450549453,-12.922519936752375,1.04888560587612,656.3624999999994,0.663771356562117,644.1785714285639,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.1, ""tgt_atr"": 0.2, ""cancel"": 1200}",1.9041125541125357,0.3484848484848485,198,0.8973006644518039,0.3395348837209302,215,848,-0.16056802636350653,-0.331889905269179,0.3278301886792453,1.9821176269346437,205,-0.45145128361919007,-0.4623901847141546,0.3170731707317073,0.6539834442266899,506,0.4800237476920986,0.7547954080697958,0.34980237154150196,0.33937517721524024,F2_fade_ONH,0.3335471456061578,0.3333333333333333,0.00021381227282446513,1.0,,,,,,ONH,0-0.25,0.1,0.2,1200.0
F2_fade_ONH,1673,0.33472803347280333,0.2934196481940074,26.540969387755105,-12.912894686176356,1.034155949251207,490.8910714285744,0.48368840961661613,688.3714285714361,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.1, ""tgt_atr"": 0.2, ""cancel"": 1500}",0.8684245660881013,0.3364485981308411,214,0.3582677784770235,0.33480176211453744,227,918,-0.02015300112337722,-0.04334560095782416,0.3344226579520697,1.9841159731558793,219,-0.6472145880622221,-0.6918640534033216,0.3105022831050228,0.6509628161095465,536,0.34394252526530855,0.5595663041482671,0.3451492537313433,0.3378590628748569,F2_fade_ONH,0.33472803347280333,0.3333333333333333,0.0013947001394700176,0.9173886762455097,,,,,,ONH,0-0.25,0.1,0.2,1500.0
F2_fade_ONH,1559,0.20141116100064144,0.14683405113168407,52.2773202911738,-13.000935169248415,1.0141425900339054,228.9142857142955,0.16440357419838397,927.6910714285746,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.1, ""tgt_atr"": 0.4, ""cancel"": 1200}",1.4168560606060774,0.21717171717171718,198,-1.0780232558139893,0.18604651162790697,215,848,-0.391997601323312,-0.5863352556923642,0.19929245283018868,1.9821176269346437,205,-0.5195156348355139,-0.38348414288130356,0.1951219512195122,0.6539834442266899,506,0.08439128192152123,0.0954449691000114,0.2075098814229249,0.33937517721524024,F2_fade_ONH,0.20141116100064144,0.2,0.0014111610006414255,0.8992240600923763,,,,,,ONH,0-0.25,0.1,0.4,1200.0
F2_fade_ONH,1673,0.20561864913329347,-0.07658398087267591,49.720328073089696,-12.966078146834345,0.9925646697563104,-128.1249999999868,-0.09051459491423446,1238.355357142842,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.1, ""tgt_atr"": 0.4, ""cancel"": 1500}",0.5985397196261846,0.21495327102803738,214,-1.833071113908139,0.18502202643171806,227,918,-0.23478399165584876,-0.3661854729445845,0.20697167755991286,1.9841159731558793,219,-0.8287566566040387,-0.6486132834389849,0.1963470319634703,0.6509628161095465,536,-0.12781893943126163,-0.15116134800063713,0.20708955223880596,0.3378590628748569,F2_fade_ONH,0.20561864913329347,0.2,0.005618649133293463,0.5615232242218857,,,,,,ONH,0-0.25,0.1,0.4,1500.0
F2_fade_ONH,1559,0.763951250801796,-1.3457281453312628,6.526114759505818,-26.82226319875779,0.787450439002433,-2097.9901785714387,-2.8388454108709977,2201.87500000001,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.2, ""tgt_atr"": 0.05, ""cancel"": 1200}",-2.078612012987,0.7525252525252525,198,-2.8069933554817315,0.7441860465116279,215,848,-0.4245283018868084,-1.1989780876598277,0.7830188679245284,1.9821176269346437,205,-2.3170731707317147,-2.9094376752573567,0.7073170731707317,0.6539834442266899,506,-1.1182019910595773,-2.339680248993041,0.7549407114624506,0.33937517721524024,F2_fade_ONH,0.763951250801796,0.8,-0.036048749198204,0.0004913366011591124,,,,,,ONH,0-0.25,0.2,0.05,1200.0
F2_fade_ONH,1673,0.7638971906754334,-1.2842119588421224,6.528906075340935,-26.563110307414146,0.7952345739104377,-2148.4866071428705,-2.8178252399963206,2232.4803571428706,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.2, ""tgt_atr"": 0.05, ""cancel"": 1500}",-2.6906667222963847,0.7429906542056075,214,-2.2605412208936553,0.7533039647577092,227,918,-0.39878569860331503,-1.174605815089553,0.7832244008714597,1.9841159731558793,219,-2.347213262668821,-3.0508343835864746,0.7031963470319634,0.6509628161095465,536,-1.1022578497689313,-2.3758355611654327,0.7555970149253731,0.3378590628748569,F2_fade_ONH,0.7638971906754334,0.8,-0.036102809324566665,0.0003067468599035557,,,,,,ONH,0-0.25,0.2,0.05,1500.0
F2_fade_ONH,1559,0.6414368184733804,-1.2394128562265165,13.007923214285714,-26.726597239969326,0.8706678090009987,-1932.2446428571393,-1.9236841138514742,2380.1517857142753,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.2, ""tgt_atr"": 0.1, ""cancel"": 1200}",-4.812707431457387,0.5959595959595959,198,-2.1068521594684304,0.6325581395348837,215,848,-0.275951496365751,-0.5644800634871242,0.6568396226415094,1.9821176269346437,205,-2.000000000000013,-1.9436506316151103,0.6,0.6539834442266899,506,-1.0193877618105562,-1.58479560293004,0.6324110671936759,0.33937517721524024,F2_fade_ONH,0.6414368184733804,0.6666666666666666,-0.02522984819328622,0.036117269169156696,,,,,,ONH,0-0.25,0.2,0.1,1200.0
F2_fade_ONH,1673,0.6419605499103407,-1.1111230894031243,13.01183659217877,-26.433424755544955,0.8825973617622898,-1858.9089285714272,-1.795114548068338,2487.707142857141,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.2, ""tgt_atr"": 0.1, ""cancel"": 1500}",-4.819050400534005,0.5934579439252337,214,-1.9816787287602204,0.6343612334801763,227,918,-0.12537270178212015,-0.2679433746312238,0.6612200435729847,1.9841159731558793,219,-2.310058873236858,-2.3220270517016712,0.5844748858447488,0.6509628161095465,536,-0.9892223436577546,-1.585381198490906,0.6324626865671642,0.3378590628748569,F2_fade_ONH,0.6419605499103407,0.6666666666666666,-0.024706116756325947,0.03344736062606511,,,,,,ONH,0-0.25,0.2,0.1,1500.0
F2_fade_ONH,1559,0.5093008338678641,0.031141757536889917,25.544615869017637,-26.449509803921554,1.0023994415306021,48.55000000001138,0.03541520976158916,1355.7142857142721,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.2, ""tgt_atr"": 0.2, ""cancel"": 1200}",-1.840025252525195,0.4797979797979798,198,0.2595681063123156,0.4883720930232558,215,848,1.0010593956867173,1.4695024961369134,0.5247641509433962,1.9821176269346437,205,-0.9455125501310181,-0.6808056419296182,0.47804878048780486,0.6539834442266899,506,-0.08162935840127385,-0.09233173119964148,0.49604743083003955,0.33937517721524024,F2_fade_ONH,0.5093008338678641,0.5,0.009300833867864067,0.4782462868611462,,,,,,ONH,0-0.25,0.2,0.2,1200.0
F2_fade_ONH,1673,0.5068738792588166,-0.1008944582016846,25.290309130727763,-26.19997402597402,0.9921907658611079,-168.79642857141835,-0.11969264980352291,1634.324999999988,"{""nivel"": ""ONH"", ""dist_atr"": ""0-0.25"", ""stop_atr"": 0.2, ""tgt_atr"": 0.2, ""cancel"": 1500}",-2.8352636849131594,0.4672897196261682,214,-0.0388766519823599,0.4889867841409692,227,918,1.0226388739431236,1.5703361801138185,0.5261437908496732,1.9841159731558793,219,-1.4934349723516949,-1.1196600039806512,0.4611872146118721,0.6509628161095465,536,-0.1862747726511987,-0.21733816661190122,0.4925373134328358,0.3378590628748569,F2_fade_ONH,0.5068738792588166,0.5,0.006873879258816551,0.590682196763616,,,,,,ONH,0-0.25,0.2,0.2,1500.0
