entry_date,exit_date,dias,pnl,mae
2018-09-05,2018-09-11,4,-17.538,-126.5
2018-09-17,2018-09-20,3,134.962,2.0
2019-02-07,2019-02-12,3,107.962,-69.0
2019-02-21,2019-02-22,1,52.212,11.75
2019-02-28,2019-03-01,1,50.212,-0.75
2019-03-07,2019-03-11,2,134.462,-87.75
2019-03-25,2019-03-26,1,30.212,-6.5
2019-05-01,2019-05-03,2,91.212,-82.75
2019-05-07,2019-05-14,5,-242.288,-341.5
2019-06-24,2019-07-01,5,39.462,-143.5
2019-07-17,2019-07-23,4,59.962,-64.0
2019-07-30,2019-08-06,5,-440.788,-606.25
2019-09-09,2019-09-11,2,51.462,-93.25
2019-11-21,2019-11-25,2,103.462,-39.25
2019-12-03,2019-12-04,1,39.212,29.5
2019-12-10,2019-12-11,1,44.712,4.5
2019-12-30,2020-01-02,2,156.712,-39.25
2020-01-27,2020-01-28,1,136.462,40.0
2020-02-21,2020-03-02,5,-576.538,-1021.5
2020-05-13,2020-05-15,2,154.462,-143.75
2020-07-24,2020-07-27,1,189.962,41.75
2020-08-10,2020-08-12,2,66.962,-232.75
2020-09-04,2020-09-14,5,-344.788,-681.5
2020-10-15,2020-10-22,5,-236.788,-379.25
2020-11-10,2020-11-11,1,259.212,83.0
2020-11-18,2020-11-24,4,182.462,-83.75
2020-12-21,2020-12-22,1,27.962,-91.25
2021-01-12,2021-01-13,1,84.462,-18.0
2021-01-15,2021-01-19,1,185.462,50.5
2021-02-10,2021-02-12,2,153.212,-25.5
2021-02-17,2021-02-24,5,-405.038,-942.25
