sym,stop,objetivo,trail_EMA20,trades,por_dia,wr,gan_media_usd,perd_media_usd,pf,exp_usd,exp_R,t,DEV_usd,DEV_t,DEV_bruto_t,VAL1_usd,VAL1_t,VAL1_bruto_t,VAL2_usd,VAL2_t,VAL2_bruto_t
ES,vela VI,2R,True,3380,0.881126173096976,0.28076923076923077,122.74368809272917,-98.62301933360756,0.48584991125850746,-36.470059171597626,-0.5567399187087838,-21.16348220668014,-35.98030651340996,-15.284624475192036,-1.9200448095490528,-36.53083333333333,-8.863287835889258,-1.303724165759067,-36.74358294930876,-12.300364656401191,-1.8061347915215833
ES,vela VI,3R,False,3348,0.872784150156413,0.22610513739545998,200.63035667107002,-106.07358548822849,0.5526088841277579,-36.72624850657108,-0.5669662159159227,-16.70666856106186,-39.342449373191904,-12.265023805048047,-2.397979719275878,-35.16436241610737,-6.403717519990275,-0.70676489953544,-35.687113702623904,-9.755277506284923,-1.5412741793740952
ES,vela VI,3R,True,3352,0.8738269030239834,0.2097255369928401,192.46190611664295,-96.77547753869385,0.5277798755366708,-36.115011933174216,-0.5558140558593244,-18.474910075362683,-38.038633301251195,-13.951535001464487,-2.24645187816064,-36.50664429530201,-7.478463867974904,-1.0170960914149094,-34.815037856726846,-10.034517462586281,-1.299221889430773
ES,vela VI,sin objetivo,False,3125,0.814650677789364,0.05984,1191.6998930481282,-105.76425459496257,0.7171628798754744,-28.124000000000017,-0.4628401757595454,-5.588764184394664,-43.472925851703415,-6.190847752145891,-1.488460476692742,-35.20494584837545,-1.4088322960087014,0.44287319695275273,-15.891913541004469,-1.6342585039462298,1.003920192642604
ES,vela VI,sin objetivo,True,3204,0.835245046923879,0.15106117353308365,312.3701652892562,-94.43187500000002,0.5886096692020818,-32.97988139825219,-0.5427115927050477,-12.239285738823725,-45.07391905231984,-13.872890811900598,-3.584058421101412,-33.202781690140846,-3.25505607057932,0.13086893565539975,-25.35334565619224,-4.44060488691094,0.40073826509383037
ES,0.1 ATR,1R,False,6816,1.7768508863399375,0.5066021126760564,135.37536365893033,-200.32518945669278,0.6938630889306439,-30.25858002179744,-0.2640925236885469,-21.597819971867033,-30.00494925315959,-22.385574487935102,1.105132887684689,-30.434424686192614,-5.324475654224247,0.7388455827811193,-30.623807847082578,-5.673633566046912,0.043177717670222666
ES,0.1 ATR,1R,True,7043,1.8360271115745568,0.32329973022859576,129.77007560072792,-111.37733034590265,0.5566558100892611,-33.4144390580313,-0.28481758780560446,-31.860169468649833,-31.29258545021749,-32.22054577082085,-0.26740344260954846,-35.080909156039745,-8.791975976579565,-0.24041705834135382,-36.35710074506005,-8.986487255092085,-1.12339021996655
ES,0.1 ATR,2R,False,6159,1.6055787278415015,0.34518590680305244,302.9188234108324,-197.46743597463797,0.8086597223920189,-24.741151276876938,-0.24535625011162426,-13.442851027383028,-30.177200109857583,-14.791310815325538,1.0614997518028044,-25.101345337183616,-3.9895497728207348,0.020345199840578133,-15.096234235562827,-1.945203500173299,1.8723830777075574
ES,0.1 ATR,2R,True,6686,1.7429614181439,0.21627280885432246,228.4752795890145,-104.34604143947665,0.6042271635816243,-32.36583949403866,-0.285839321853371,-24.650469403326944,-33.2047388527544,-26.116694646648323,-1.2537161751978017,-32.361846246973435,-6.837629356206193,-0.26443098452971425,-30.90836934296613,-5.532210548747411,0.4227522273564861
ES,0.1 ATR,3R,False,5766,1.5031282586027113,0.26881720430107525,460.74930875576126,-197.6004166101926,0.8572508657873561,-20.624683984936134,-0.21972583410740146,-9.47899077993965,-30.315172100626604,-11.259076430057021,1.255726547526177,-19.624471773461604,-2.9103792498327503,0.3006455221718161,-4.422224300521654,-0.3280587013630374,2.66426386735703
ES,0.1 ATR,3R,True,6515,1.6983837330552658,0.20629316960859556,246.34889668367373,-103.892141475813,0.6163006904051624,-31.639807586887404,-0.28005014613219326,-21.484222016783924,-32.860603976768495,-22.625262366016887,-0.6463697270518284,-32.6966265527952,-6.432927229104188,-0.43951670360221773,-29.06000521884358,-4.640685480362256,0.6314459292940034
ES,0.1 ATR,sin objetivo,False,5185,1.3516684045881127,0.1733847637415622,922.1599110122359,-197.1652188187456,0.9810326425276239,-3.091295633007452,-0.13641315251242153,-3.231827257426397,-23.419527195165255,-5.1419245085658805,1.6856720094804045,-13.054680530440097,-0.8454050601838363,0.8704888692980035,35.60062612883753,1.445084086816612,3.090222615335964
ES,0.1 ATR,sin objetivo,True,6309,1.644681960375391,0.20462830876525598,252.09243996901623,-103.11022846324667,0.6290043630563109,-30.425707153046716,-0.2830655628664303,-18.676070688730746,-34.88122604084011,-22.357325761439863,-1.871725739505089,-32.03486816874413,-4.149262322957132,0.2658174247750825,-22.06015045135431,-3.2005566427946524,1.1002229916440502
YM,EMA50,1R,False,8950,2.332551472504561,0.514413407821229,135.58303486097049,-168.2474115085661,0.8536946357180116,-11.95295619176763,-0.15659610627623685,-9.419415309400978,-12.25625260726786,-9.26545874589794,2.5907859978372048,-9.17436196248142,-2.457781750776165,0.7997552135646635,-12.654337883980244,-3.2257181962204617,0.8194044355885571
YM,EMA50,1R,True,9607,2.503778994005734,0.3428749869886541,114.6773169199271,-81.75539439886037,0.7318952200660056,-14.403531061285094,-0.17806714997925036,-18.017907587168946,-14.44798408772856,-17.70671123266918,1.8322492355303257,-12.602300633297368,-4.864917001791534,0.5537886399114282,-15.037010581563557,-6.2555924966305785,0.3532005447842753
YM,EMA50,2R,False,7829,2.0403961428199113,0.34921445906246007,282.04854507831215,-163.13992800011778,0.9277221363050636,-7.673676193191308,-0.14841879638966995,-5.3363406714836445,-11.486286336215832,-5.701758999332523,2.188536505955396,1.8240764832866483,-1.3086247606071735,0.8702798060794585,-6.538744296016114,-1.298333206338951,1.381859667628213
YM,EMA50,2R,True,9014,2.3492311701850404,0.25538051919236743,173.34939807933736,-76.85194213569319,0.7736078399961213,-12.955393968952553,-0.1761738073032291,-13.878351610887906,-14.905302375950358,-14.797625572442383,0.9415631592745665,-7.30125350729738,-2.9073857042813454,1.2542305368441768,-12.69367768453658,-4.130205516241701,1.031438865277744
