regla,salida,DEV_n,DEV_bp,DEV_t,DEV_wr,VAL1_n,VAL1_bp,VAL1_t,VAL1_wr,VAL2_n,VAL2_bp,VAL2_t,VAL2_wr
IBS<0.1,f5,155,65.42195403168023,2.8569704793007853,0.632258064516129,51,213.48107232234443,5.612342819653662,0.803921568627451,130,59.669605422427225,1.9324252476079622,0.5769230769230769
IBS<0.2,f5,304,70.45120875629692,4.706916317304582,0.6578947368421053,87,167.97305206400364,5.248393117717151,0.7586206896551724,241,29.397055355233498,1.3548726094762258,0.5767634854771784
RSI2<10,f5,190,82.5979293149646,4.0505927965506325,0.6157894736842106,36,86.31167716826072,1.1342744126456397,0.5833333333333334,130,66.29694149899201,2.21550495795177,0.6538461538461539
RSI2<20,f5,338,71.18577788478089,4.829828089645451,0.636094674556213,78,70.11245159530301,1.383080441909985,0.5897435897435898,263,66.89434888244666,3.242112718533527,0.6273764258555133
2+ bajistas,f5,360,57.03290208289562,4.318001448818011,0.6166666666666667,79,31.188826953421678,0.6263908311711174,0.6075949367088608,255,58.045371890102665,2.839862762781285,0.615686274509804
3+ bajistas,f5,158,87.76925470227509,4.1833498473968085,0.6582278481012658,31,-76.99034307028488,-0.8379999219126206,0.45161290322580644,105,50.50818185469039,1.4895919699760543,0.6190476190476191
3+ alcistas (short),f5,313,-24.059164283334738,-2.271614346230757,0.3706070287539936,105,-31.159557032141905,-1.3656789458419394,0.3523809523809524,209,-5.444256063596739,-0.3263880294367153,0.4449760765550239
4+ alcistas (short),f5,177,-31.461861631974806,-2.5390102328212176,0.3559322033898305,61,-16.319939630324654,-0.610576190208034,0.3770491803278688,114,-13.693614499640617,-0.7006973166851711,0.4473684210526316
base & >SMA50,f5,1351,14.169813098399967,2.678072659347964,0.5936343449296817,422,52.2831572620739,4.16483622924869,0.6421800947867299,808,26.562452780330588,3.2377065079726495,0.5977722772277227
IBS<0.1 & >SMA50,f5,68,45.04081722747935,1.6619529891032714,0.6617647058823529,31,195.9694495097862,5.140855583943343,0.8709677419354839,56,84.7964286551506,2.334757291378372,0.625
IBS<0.2 & >SMA50,f5,153,30.54004982723492,1.7898439614827584,0.6405228758169934,58,155.72903757340907,4.789643912419791,0.7931034482758621,115,32.67796669546396,1.318570154453304,0.6
RSI2<10 & >SMA50,f5,69,17.22588777618925,0.5585246270225105,0.5507246376811594,17,-0.1319793549265945,-0.0018026834131629162,0.4117647058823529,41,40.94671454487442,0.9600742020062847,0.6097560975609756
RSI2<20 & >SMA50,f5,154,30.360853774226115,1.6102884154756893,0.6103896103896104,45,47.59093160524787,0.9521117545691788,0.5333333333333333,103,89.54667861181895,3.515955445282731,0.6699029126213593
2+ bajistas & >SMA50,f5,196,18.94587880039958,1.2645817678448945,0.5663265306122449,48,25.790426730364477,0.5902334420417258,0.5625,129,69.4856725120558,3.03600928922537,0.6201550387596899
3+ bajistas & >SMA50,f5,63,50.31322151514891,1.825346017834177,0.5873015873015873,18,-62.51503229415081,-0.8430894480575863,0.3333333333333333,47,48.111696190981796,1.2353872744202006,0.6170212765957447
3+ alcistas & >SMA50 (short),f5,271,-30.138544310224667,-3.1228869585993,0.3505535055350554,97,-19.095969646581334,-0.7975006871440181,0.3711340206185567,172,-0.5053724333034144,-0.033787741621572456,0.4418604651162791
4+ alcistas & >SMA50 (short),f5,162,-36.48115473016556,-3.163906983622779,0.3333333333333333,56,-9.776246535614575,-0.33832750974722703,0.39285714285714285,100,2.9644656987674605,0.1462612118128839,0.46
base & >SMA200,f5,1609,20.914848402276313,4.060650525198364,0.5991298943443132,478,50.061528432735706,3.591960851513937,0.6297071129707112,924,30.213070833975944,3.9829349932063733,0.6006493506493507
IBS<0.1 & >SMA200,f5,120,49.070487885200826,2.1613065018503583,0.65,44,186.37117441641686,5.0504888313359295,0.7954545454545454,85,67.43625652190158,2.265255043597755,0.611764705882353
IBS<0.2 & >SMA200,f5,239,51.46055718791609,3.488041078510223,0.6610878661087866,77,147.89835786418078,4.476239789400048,0.7402597402597403,160,27.580516626219367,1.3166862138420532,0.59375
RSI2<10 & >SMA200,f5,143,43.15682551559077,2.00166453014995,0.5874125874125874,25,0.548004036899581,0.009664271980596339,0.48,78,51.93527637437836,1.8217388350760564,0.6794871794871795
RSI2<20 & >SMA200,f5,261,52.2696228009429,3.4684698937849014,0.6360153256704981,64,13.253851053143407,0.2769853373942406,0.53125,167,51.00390333873027,2.5431292369550027,0.6407185628742516
2+ bajistas & >SMA200,f5,294,33.69720617461276,2.5026330348271326,0.5952380952380952,64,-13.679536239143218,-0.2744421611402158,0.5625,165,60.818188698190795,3.083457021681071,0.6424242424242425
3+ bajistas & >SMA200,f5,121,47.35552981401065,2.307280894690777,0.628099173553719,24,-116.16765721978167,-1.2976648709121927,0.375,63,46.71761956695797,1.4700513334575,0.6507936507936508
3+ alcistas & >SMA200 (short),f5,292,-32.87687210841869,-3.5295495075789876,0.363013698630137,97,-24.99345299381541,-1.017008469346888,0.38144329896907214,185,-14.580187358698009,-0.9558917571529356,0.43243243243243246
4+ alcistas & >SMA200 (short),f5,171,-36.03389255334869,-3.1089249452920766,0.3508771929824561,57,-10.30465817804295,-0.3624275116738194,0.40350877192982454,105,-13.961429339186578,-0.719788105721384,0.44761904761904764
