etiqueta,año,top,sym,n,wr,R,R_suma
y12,2022,0.2,NQ,147,0.3197278911564626,-0.07110131536868751,-10.451893359197063
y12,2022,0.2,YM,126,0.31746031746031744,-0.11963319841803748,-15.073783000672721
y12,2022,0.1,ES,70,0.35714285714285715,-0.04142542889777995,-2.8997800228445962
y12,2022,0.1,NQ,83,0.3493975903614458,0.01224819437814109,1.0166001333857104
y12,2022,0.1,YM,71,0.23943661971830985,-0.3417157137414214,-24.261815675640918
y12,2022,0.05,ES,41,0.3902439024390244,0.04343481954942798,1.7808276015265472
y12,2022,0.05,NQ,36,0.3611111111111111,0.030417362277809525,1.095025042001143
y12,2022,0.05,YM,31,0.22580645161290322,-0.3826062180576444,-11.860792759786976
y12,2022,0.02,ES,10,0.4,0.1075652543320316,1.075652543320316
y12,2022,0.02,NQ,12,0.3333333333333333,-0.1128574915233596,-1.354289898280315
y12,2022,0.02,YM,3,0.6666666666666666,0.9399744271036411,2.819923281310923
y12,2023,1.0,ES,248,0.31451612903225806,-0.14888635857119803,-36.923816925657114
y12,2023,1.0,NQ,248,0.22983870967741934,-0.33348387522707185,-82.70400105631381
y12,2023,1.0,YM,248,0.28225806451612906,-0.21325137934796703,-52.886342078295826
y12,2023,0.2,ES,117,0.28205128205128205,-0.2462808995141336,-28.81486524315363
y12,2023,0.2,NQ,144,0.22916666666666666,-0.33553957729768324,-48.31769913086639
y12,2023,0.2,YM,103,0.3106796116504854,-0.1279867379448964,-13.182634008324328
y12,2023,0.1,ES,47,0.2127659574468085,-0.454136873327554,-21.344433046395036
y12,2023,0.1,NQ,81,0.2345679012345679,-0.31940926974203865,-25.87215084910513
y12,2023,0.1,YM,51,0.3137254901960784,-0.11884910230812888,-6.061304217714573
y12,2023,0.05,ES,18,0.3888888888888889,0.07423192099869802,1.3361745779765644
y12,2023,0.05,NQ,48,0.3125,-0.08544521082160865,-4.101370119437215
y12,2023,0.05,YM,20,0.3,-0.16002557289637784,-3.200511457927557
y12,2023,0.02,ES,6,0.5,0.4075652543320285,2.445391525992171
y12,2023,0.02,NQ,14,0.21428571428571427,-0.3800880679644723,-5.321232951502612
y12,2023,0.02,YM,5,0.0,-1.0600255728963286,-5.3001278644816425
y12,2024,1.0,ES,249,0.3293172690763052,-0.10448293843905974,-26.016251671325875
y12,2024,1.0,NQ,249,0.26104417670682734,-0.2398126807011269,-59.7133574945806
y12,2024,1.0,YM,249,0.3293172690763052,-0.07207376566744805,-17.946367651194564
y12,2024,0.2,ES,153,0.29411764705882354,-0.21008180449150565,-32.14251608720036
y12,2024,0.2,NQ,167,0.32335329341317365,-0.05288533058209113,-8.83185020720922
y12,2024,0.2,YM,147,0.3197278911564626,-0.10084189942697662,-14.823759215765563
y12,2024,0.1,ES,84,0.30952380952380953,-0.16386331709655103,-13.764518636110285
y12,2024,0.1,NQ,105,0.3047619047619048,-0.1086594965358973,-11.409247136269215
y12,2024,0.1,YM,68,0.35294117647058826,-0.0012020434846008227,-0.08173895695285593
y12,2024,0.05,ES,50,0.36,-0.012434745667982514,-0.6217372833991257
y12,2024,0.05,NQ,56,0.30357142857142855,-0.11223092510732166,-6.284931806010013
y12,2024,0.05,YM,39,0.3333333333333333,-0.06002557289636661,-2.340997342958298
y12,2024,0.02,ES,15,0.3333333333333333,-0.09243474566799645,-1.3865211850199468
y12,2024,0.02,NQ,15,0.3333333333333333,-0.022945210821605545,-0.34417816232408316
y12,2024,0.02,YM,13,0.3076923076923077,-0.13694864981945357,-1.7803324476528963
y12,2025,1.0,ES,247,0.3481781376518219,-0.04542380258723564,-11.219679239047203
y12,2025,1.0,NQ,247,0.291497975708502,-0.15635268608743355,-38.619113463596086
y12,2025,1.0,YM,247,0.3360323886639676,-0.05502540459670765,-13.591274935386789
y12,2025,0.2,ES,147,0.3333333333333333,-0.08822147856335791,-12.968557348813613
y12,2025,0.2,NQ,166,0.29518072289156627,-0.13019612651973766,-21.612557002276453
y12,2025,0.2,YM,130,0.3769230769230769,0.05830030723209869,7.57903994017283
y12,2025,0.1,ES,83,0.3253012048192771,-0.11054133760734912,-9.174931021409977
y12,2025,0.1,NQ,103,0.2621359223300971,-0.2249224147622836,-23.167008720515213
y12,2025,0.1,YM,74,0.32432432432432434,-0.10891254023825629,-8.059527977630966
y12,2025,0.05,ES,46,0.32608695652173914,-0.10336620503685168,-4.754845431695177
y12,2025,0.05,NQ,61,0.2459016393442623,-0.27913438652249595,-17.027197577872254
y12,2025,0.05,YM,41,0.3170731707317073,-0.1482605871232049,-6.0786840720514
y12,2025,0.02,ES,21,0.38095238095238093,0.05042239718915973,1.0588703409723543
y12,2025,0.02,NQ,29,0.27586206896551724,-0.20877818801323944,-6.054567452383944
y12,2025,0.02,YM,15,0.4,0.03213205488359117,0.4819808232538676
y12,2026,1.0,ES,49,0.30612244897959184,-0.17406739872919594,-8.5293025377306
y12,2026,1.0,NQ,49,0.30612244897959184,-0.10457786388282671,-5.124315330258509
y12,2026,1.0,YM,49,0.4489795918367347,0.2566057608676424,12.57368228251448
y12,2026,0.2,ES,29,0.27586206896551724,-0.2648485387714255,-7.680607624371339
y12,2026,0.2,NQ,36,0.3333333333333333,-0.02294521082160421,-0.8260275895777516
y12,2026,0.2,YM,27,0.4444444444444444,0.27330776043697125,7.379309531798224
y12,2026,0.1,ES,15,0.3333333333333333,-0.0924347456679833,-1.3865211850197496
y12,2026,0.1,NQ,23,0.2608695652173913,-0.24033651516943214,-5.527739848896939
