tipo,R,S,rr,K,G,colchon,cons,cons_pcobra,cons_dias,opt,opt_pcobra,opt_dias,prom
growth,100,90,3.0,2,300.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,2,300.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,2,600.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,2,600.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,2,1000000000.0,-1,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,100,90,3.0,2,1000000000.0,2500,0.0,0.0,250.0,0.0,0.0,250.0,0.0
growth,150,30,1.5,1,300.0,-1,63.0,0.04,113.44866666666667,331.19090400000005,0.184,158.61666666666667,197.09545200000002
growth,150,30,1.5,1,300.0,2500,18.0,0.01,114.424,126.0,0.07133333333333333,162.73933333333332,72.0
growth,150,30,1.5,1,600.0,-1,63.0,0.04,113.44866666666667,331.19090400000005,0.184,158.61666666666667,197.09545200000002
growth,150,30,1.5,1,600.0,2500,18.0,0.01,114.424,126.0,0.07133333333333333,162.73933333333332,72.0
growth,150,30,1.5,1,1000000000.0,-1,63.0,0.04,113.44866666666667,331.19090400000005,0.184,158.61666666666667,197.09545200000002
growth,150,30,1.5,1,1000000000.0,2500,18.0,0.01,114.424,126.0,0.07133333333333333,162.73933333333332,72.0
growth,150,30,1.5,2,300.0,-1,136.8,0.07533333333333334,68.33466666666666,382.36536,0.18266666666666667,85.14733333333334,259.58268
growth,150,30,1.5,2,300.0,2500,63.9,0.034666666666666665,71.52933333333333,225.9,0.11066666666666666,93.818,144.9
growth,150,30,1.5,2,600.0,-1,136.8,0.07533333333333334,68.33466666666666,382.36536,0.18266666666666667,85.14733333333334,259.58268
growth,150,30,1.5,2,600.0,2500,63.9,0.034666666666666665,71.52933333333333,225.9,0.11066666666666666,93.818,144.9
growth,150,30,1.5,2,1000000000.0,-1,136.8,0.07533333333333334,68.33466666666666,382.36536,0.18266666666666667,85.14733333333334,259.58268
growth,150,30,1.5,2,1000000000.0,2500,63.9,0.034666666666666665,71.52933333333333,225.9,0.11066666666666666,93.818,144.9
