tipo,modo,t_ini,S,T,rr,R,K,G,L,rfrac,colchon,cons_ev,cons_pcobra,cons_nret,cons_dias,cons_pap,cons_neto_cupo,cons_neto_año,opt_ev,opt_pcobra,opt_nret,opt_dias,opt_pap,opt_neto_cupo,opt_neto_año,min_neto_cupo,min_neto_año,min_pcobra,rr_b
growth,1,1,24.25,7.5,0.3092783505154639,231.1646215117634,3,900.0,231.1646215117634,0.0,-1.0,0.0,0.0,0.0,40.35285714285714,0.4027,-230.94114725602185,-1390.5184276875534,0.0,0.0,0.0,29.732857142857146,0.39055,-238.12572013826653,-1921.2997773585607,-238.12572013826653,-1921.2997773585607,0.0,0.3-0.6 (WR alto)
select_flex,2,31,62.5,249.25,3.988,146.01350356981342,3,1000000000.0,292.02700713962685,0.0,-1.0,1154.837677372669,0.74,2.0157142857142856,51.74142857142857,0.3128,838.3415136898046,3029.219013393997,906.8909010466308,0.6685714285714286,1.6371428571428572,40.847142857142856,0.31945,596.9832472666965,2556.4499992194123,596.9832472666965,2556.4499992194123,0.6685714285714286,>3.5 (WR bajo)
growth,1,1,11.25,4.75,0.4222222222222222,54.976353678670286,8,1000000000.0,1000000000.0,0.0,1000.0,0.0,0.0,0.0,24.205714285714286,0.4027,-230.94114725602185,-2263.9779024098175,0.0,0.0,0.0,21.25857142857143,0.39055,-238.12572013826653,-2636.7068628705174,-238.12572013826653,-2636.7068628705174,0.0,0.3-0.6 (WR alto)
select_flex,1,1,9.25,30.25,3.27027027027027,135.87927020692442,8,1000000000.0,135.87927020692442,0.5,-1.0,524.5021639681435,0.3742857142857143,0.5571428571428572,248.59,0.3276,222.30436177034125,210.138036558483,308.469698890929,0.2942857142857142,0.3928571428571428,249.40857142857143,0.29715,-24.69536925647128,-23.27237687028695,-24.69536925647128,-23.27237687028695,0.2942857142857142,2-3.5
growth,2,31,6.5,5.0,0.7692307692307693,200.27755504562245,1,150.0,200.27755504562245,0.1,1000.0,0.0,0.0,0.0,250.0,0.3915,-237.5478927203065,-238.0201549324741,0.0,0.0,0.0,250.0,0.39775,-233.8152105593966,-234.2800519322781,-237.5478927203065,-238.0201549324741,0.0,0.6-1
select_flex,1,1,12.75,48.5,3.803921568627451,306.067331935533,3,150.0,612.134663871066,0.25,-1.0,692.7303922161151,0.3885714285714285,0.6842857142857143,250.0,0.3276,390.5325900183129,367.2172115097569,394.8130209375001,0.31,0.4371428571428571,250.0,0.29715,61.647952790099794,57.967477996661,61.647952790099794,57.967477996661,0.31,>3.5 (WR bajo)
growth,0,1,36.0,16.0,0.4444444444444444,350.9697150210888,2,225.0,1000000000.0,0.0,-1.0,27.0,0.0185714285714285,0.02,37.92714285714285,0.37535,-220.7687491674437,-1411.0513914684257,15.428571428571429,0.0114285714285714,0.0114285714285714,32.99857142857143,0.394,-220.6120377084844,-1611.4937865657644,-220.7687491674437,-1611.4937865657644,0.0114285714285714,0.3-0.6 (WR alto)
select_flex,1,1,38.25,40.75,1.065359477124183,83.96169245097529,8,900.0,83.96169245097529,0.1,-1.0,460.595254561234,0.54,1.19,250.0,0.3276,158.3974523634318,148.94088804322692,372.8268712223516,0.4928571428571429,0.9985714285714286,250.0,0.29715,39.66180307495131,37.29393423465571,39.66180307495131,37.29393423465571,0.4928571428571429,1-2
growth,1,1,6.75,0.75,0.1111111111111111,380.9971789526583,2,225.0,1000000000.0,0.25,1000.0,0.0,0.0,0.0,250.0,0.4027,-230.94114725602185,-231.40027478535788,0.0,0.0,0.0,250.0,0.39055,-238.12572013826653,-238.59913111269648,-238.12572013826653,-238.59913111269648,0.0,<0.3 (WR muy alto)
select_flex,0,1,55.0,12.75,0.2318181818181818,770.0041682673304,1,1000000000.0,1540.0083365346609,0.25,-1.0,0.0,0.0,0.0,250.0,0.2908,-340.4401650618982,-320.11537908805354,0.0,0.0,0.0,250.0,0.31655,-312.74680145316694,-294.07535062014205,-340.4401650618982,-320.11537908805354,0.0,<0.3 (WR muy alto)
