tipo,size,fr,R,S,rr,K,G,L,reserva,ev,p_cobra,n_ret,quiebra,dias,sd
growth,25,0.05,50.0,10,1.0,2,400.0,1000000000.0,0,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,400.0,1000000000.0,500,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,1000000000.0,50.0,0,0.0,0.0,0.0,0.9905,40.995,0.0
growth,25,0.05,50.0,10,1.0,2,1000000000.0,50.0,500,0.0,0.0,0.0,0.9905,40.995,0.0
growth,25,0.05,50.0,10,1.0,2,1000000000.0,100.0,0,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,1000000000.0,100.0,500,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,1000000000.0,1000000000.0,0,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,2,1000000000.0,1000000000.0,500,0.0,0.0,0.0,0.993,27.455,0.0
growth,25,0.05,50.0,10,1.0,3,100.0,50.0,0,0.0,0.0,0.0,0.99,36.161,0.0
growth,25,0.05,50.0,10,1.0,3,100.0,50.0,500,0.0,0.0,0.0,0.99,36.161,0.0
growth,25,0.05,50.0,10,1.0,3,100.0,100.0,0,0.0,0.0,0.0,0.9875,23.069,0.0
growth,25,0.05,50.0,10,1.0,3,100.0,100.0,500,0.0,0.0,0.0,0.9875,23.069,0.0
growth,25,0.05,50.0,10,1.0,3,100.0,1000000000.0,0,0.0,0.0,0.0,0.983,20.2935,0.0
growth,25,0.05,50.0,10,1.0,3,100.0,1000000000.0,500,0.0,0.0,0.0,0.983,20.2935,0.0
growth,25,0.05,50.0,10,1.0,3,200.0,50.0,0,0.0,0.0,0.0,0.99,36.161,0.0
growth,25,0.05,50.0,10,1.0,3,200.0,50.0,500,0.0,0.0,0.0,0.99,36.161,0.0
growth,25,0.05,50.0,10,1.0,3,200.0,100.0,0,0.0,0.0,0.0,0.9875,23.069,0.0
growth,25,0.05,50.0,10,1.0,3,200.0,100.0,500,0.0,0.0,0.0,0.9875,23.069,0.0
growth,25,0.05,50.0,10,1.0,3,200.0,1000000000.0,0,0.0,0.0,0.0,0.983,20.2935,0.0
growth,25,0.05,50.0,10,1.0,3,200.0,1000000000.0,500,0.0,0.0,0.0,0.983,20.2935,0.0
growth,25,0.05,50.0,10,1.0,3,400.0,50.0,0,0.0,0.0,0.0,0.99,36.161,0.0
growth,25,0.05,50.0,10,1.0,3,400.0,50.0,500,0.0,0.0,0.0,0.99,36.161,0.0
growth,25,0.05,50.0,10,1.0,3,400.0,100.0,0,0.0,0.0,0.0,0.9875,23.069,0.0
growth,25,0.05,50.0,10,1.0,3,400.0,100.0,500,0.0,0.0,0.0,0.9875,23.069,0.0
growth,25,0.05,50.0,10,1.0,3,400.0,1000000000.0,0,0.0,0.0,0.0,0.983,20.2935,0.0
growth,25,0.05,50.0,10,1.0,3,400.0,1000000000.0,500,0.0,0.0,0.0,0.983,20.2935,0.0
growth,25,0.05,50.0,10,1.0,3,1000000000.0,50.0,0,0.0,0.0,0.0,0.99,36.161,0.0
growth,25,0.05,50.0,10,1.0,3,1000000000.0,50.0,500,0.0,0.0,0.0,0.99,36.161,0.0
growth,25,0.05,50.0,10,1.0,3,1000000000.0,100.0,0,0.0,0.0,0.0,0.9875,23.069,0.0
growth,25,0.05,50.0,10,1.0,3,1000000000.0,100.0,500,0.0,0.0,0.0,0.9875,23.069,0.0
growth,25,0.05,50.0,10,1.0,3,1000000000.0,1000000000.0,0,0.0,0.0,0.0,0.983,20.2935,0.0
growth,25,0.05,50.0,10,1.0,3,1000000000.0,1000000000.0,500,0.0,0.0,0.0,0.983,20.2935,0.0
growth,25,0.05,50.0,10,2.0,1,100.0,50.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,100.0,50.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,100.0,100.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,100.0,100.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,100.0,1000000000.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,100.0,1000000000.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,200.0,50.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,200.0,50.0,500,0.0,0.0,0.0,0.859,75.0315,0.0
growth,25,0.05,50.0,10,2.0,1,200.0,100.0,0,0.0,0.0,0.0,0.859,75.0315,0.0
