R,S,rr,K,G,colchon,ev,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
100,40,1,2,600.0,0,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,600.0,500,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,600.0,1000,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,600.0,1500,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,600.0,2500,0.0,0.0,0.0,150.30266666666665,-234.19793502895996,-392.6602297628202
100,40,1,2,1000000000.0,-1,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,1000000000.0,0,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,1000000000.0,500,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,1000000000.0,1000,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,1000000000.0,1500,18.9,0.014,0.014,150.12866666666667,-215.29793502895996,-361.39053807599197
100,40,1,2,1000000000.0,2500,0.0,0.0,0.0,150.30266666666665,-234.19793502895996,-392.6602297628202
100,40,2,1,300.0,-1,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,300.0,0,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,300.0,500,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,300.0,1000,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,300.0,1500,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,300.0,2500,19.8,0.014,0.014666666666666666,188.01266666666666,-214.39793502895995,-287.36510462396814
100,40,2,1,600.0,-1,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,600.0,0,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,600.0,500,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,600.0,1000,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,600.0,1500,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,600.0,2500,19.8,0.014,0.014666666666666666,188.01266666666666,-214.39793502895995,-287.36510462396814
100,40,2,1,1000000000.0,-1,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,1000000000.0,0,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,1000000000.0,500,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,1000000000.0,1000,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,1000000000.0,1500,84.6,0.05466666666666667,0.06266666666666666,187.54,-149.59793502895997,-201.01674110748593
100,40,2,1,1000000000.0,2500,19.8,0.014,0.014666666666666666,188.01266666666666,-214.39793502895995,-287.36510462396814
100,40,2,2,300.0,-1,280.7806292798781,0.14866666666666667,0.206,133.16866666666667,46.58269425091814,88.15015757884514
100,40,2,2,300.0,0,280.8,0.14866666666666667,0.206,133.16866666666667,46.60206497104005,88.18681350995048
100,40,2,2,300.0,500,279.0,0.14866666666666667,0.20533333333333334,133.20533333333333,44.80206497104004,84.75726977424895
100,40,2,2,300.0,1000,277.2,0.14866666666666667,0.20466666666666666,133.21466666666666,43.00206497104003,81.34630100315847
100,40,2,2,300.0,1500,277.2,0.14866666666666667,0.20466666666666666,133.21466666666666,43.00206497104003,81.34630100315847
100,40,2,2,300.0,2500,125.1,0.07466666666666667,0.09266666666666666,137.236,-109.09793502895997,-200.33139720844324
100,40,2,2,600.0,-1,280.7806292798781,0.14866666666666667,0.206,133.16866666666667,46.58269425091814,88.15015757884514
100,40,2,2,600.0,0,280.8,0.14866666666666667,0.206,133.16866666666667,46.60206497104005,88.18681350995048
100,40,2,2,600.0,500,279.0,0.14866666666666667,0.20533333333333334,133.20533333333333,44.80206497104004,84.75726977424895
