plan,fr,S,rr,K,G,cons,cons_dias,opt,opt_dias,prom
growth,1.0,90,4.0,2,1000000000.0,0.362,2.0,0.39875,2.0,0.380375
select,0.15,30,1.5,1,960.0,0.09525,37.0,0.17825,37.0,0.13674999999999998
select,0.15,30,1.5,2,960.0,0.14775,22.0,0.21275,22.0,0.18025
select,0.15,30,2.0,1,960.0,0.14,30.0,0.264,30.0,0.202
select,0.15,30,2.0,2,960.0,0.18225,16.0,0.2445,15.0,0.21337499999999998
select,0.15,30,3.0,1,960.0,0.23875,21.0,0.346,21.0,0.292375
select,0.15,30,3.0,2,960.0,0.20525,14.0,0.31,14.0,0.257625
select,0.15,30,4.0,1,960.0,0.278,16.0,0.37875,16.0,0.328375
select,0.15,30,4.0,2,960.0,0.1935,14.0,0.2935,14.0,0.2435
select,0.15,45,1.5,1,960.0,0.12175,32.0,0.25,30.5,0.185875
select,0.15,45,1.5,2,960.0,0.18525,17.0,0.298,18.5,0.24162499999999998
select,0.15,45,2.0,1,960.0,0.19375,26.0,0.341,26.0,0.26737500000000003
select,0.15,45,2.0,2,960.0,0.26025,14.0,0.3565,13.0,0.30837499999999995
select,0.15,45,3.0,1,960.0,0.231,19.0,0.387,18.0,0.309
select,0.15,45,3.0,2,960.0,0.229,15.0,0.29325,14.0,0.261125
select,0.15,45,4.0,1,960.0,0.29925,15.0,0.42475,14.0,0.362
select,0.15,45,4.0,2,960.0,0.3045,10.0,0.355,9.0,0.32975
select,0.15,60,1.5,1,960.0,0.13725,38.0,0.296,35.0,0.216625
select,0.15,60,1.5,2,960.0,0.25075,24.0,0.3765,23.0,0.313625
select,0.15,60,2.0,1,960.0,0.2065,33.0,0.38175,30.0,0.29412499999999997
select,0.15,60,2.0,2,960.0,0.2905,20.0,0.41225,17.0,0.351375
select,0.15,60,3.0,1,960.0,0.27075,24.0,0.41625,23.0,0.3435
select,0.15,60,3.0,2,960.0,0.26975,18.0,0.32725,16.0,0.2985
select,0.15,60,4.0,1,960.0,0.297,21.0,0.4285,18.0,0.36275
select,0.15,60,4.0,2,960.0,0.25275,16.0,0.3165,15.0,0.284625
select,0.15,90,1.5,1,960.0,0.06,45.0,0.154,44.0,0.107
select,0.15,90,1.5,2,960.0,0.20025,39.0,0.31425,36.0,0.25725
select,0.15,90,2.0,1,960.0,0.10075,43.0,0.226,42.0,0.163375
select,0.15,90,2.0,2,960.0,0.241,37.0,0.31975,32.0,0.280375
select,0.15,90,3.0,1,960.0,0.1525,38.0,0.2975,37.0,0.22499999999999998
select,0.15,90,3.0,2,960.0,0.23925,34.0,0.36775,28.0,0.3035
select,0.15,90,4.0,1,960.0,0.18825,36.0,0.32075,34.0,0.2545
select,0.15,90,4.0,2,960.0,0.2335,34.0,0.3465,26.0,0.29
select,0.3,30,1.5,1,960.0,0.2095,9.0,0.2725,9.0,0.241
select,0.3,30,1.5,2,960.0,0.144,8.0,0.183,7.0,0.16349999999999998
select,0.3,30,2.0,1,960.0,0.24125,6.0,0.31425,6.0,0.27775
select,0.3,30,2.0,2,960.0,0.23625,5.0,0.26675,5.0,0.2515
select,0.3,30,3.0,1,960.0,0.1945,7.5,0.25275,8.0,0.223625
select,0.3,30,3.0,2,960.0,0.20125,5.0,0.23075,5.0,0.21600000000000003
select,0.3,30,4.0,1,960.0,0.161,9.0,0.2145,9.0,0.18775
select,0.3,30,4.0,2,960.0,0.15325,6.0,0.19,6.0,0.171625
select,0.3,45,1.5,1,960.0,0.2135,9.0,0.297,9.0,0.25525
select,0.3,45,1.5,2,960.0,0.167,8.0,0.21275,8.0,0.18987500000000002
select,0.3,45,2.0,1,960.0,0.26025,7.0,0.34,8.0,0.300125
select,0.3,45,2.0,2,960.0,0.27525,5.0,0.30575,5.0,0.2905
select,0.3,45,3.0,1,960.0,0.18375,8.0,0.27125,8.0,0.22749999999999998
select,0.3,45,3.0,2,960.0,0.20725,6.0,0.24175,5.0,0.22449999999999998
select,0.3,45,4.0,1,960.0,0.1705,10.0,0.2405,9.0,0.20550000000000002
select,0.3,45,4.0,2,960.0,0.1735,6.0,0.19775,6.0,0.18562499999999998
select,0.3,60,1.5,1,960.0,0.242,12.0,0.3595,12.0,0.30074999999999996
select,0.3,60,1.5,2,960.0,0.21875,9.0,0.2925,9.0,0.255625
select,0.3,60,2.0,1,960.0,0.27475,10.0,0.3735,10.0,0.324125
select,0.3,60,2.0,2,960.0,0.2035,10.0,0.26775,9.0,0.23562499999999997
select,0.3,60,3.0,1,960.0,0.23625,9.0,0.3155,9.0,0.275875
select,0.3,60,3.0,2,960.0,0.24225,7.0,0.276,6.0,0.259125
select,0.3,60,4.0,1,960.0,0.1945,12.0,0.2645,11.0,0.2295
select,0.3,60,4.0,2,960.0,0.2045,8.0,0.22675,7.0,0.215625
select,0.3,90,1.5,1,960.0,0.27475,11.0,0.34125,10.0,0.308
select,0.3,90,1.5,2,960.0,0.2375,11.0,0.2665,9.0,0.252
select,0.3,90,2.0,1,960.0,0.3,9.0,0.3525,8.0,0.32625
select,0.3,90,2.0,2,960.0,0.30325,7.0,0.32325,6.0,0.31325000000000003
select,0.3,90,3.0,1,960.0,0.22325,11.0,0.272,10.0,0.247625
select,0.3,90,3.0,2,960.0,0.2385,8.0,0.26175,7.0,0.250125
select,0.3,90,4.0,1,960.0,0.189,14.0,0.224,13.0,0.20650000000000002
select,0.3,90,4.0,2,960.0,0.205,10.0,0.219,8.5,0.212
select,0.6,30,1.5,1,960.0,0.16025,5.0,0.2025,5.0,0.181375
select,0.6,30,1.5,2,960.0,0.1595,4.0,0.1875,4.0,0.1735
select,0.6,30,2.0,1,960.0,0.12525,6.0,0.176,6.0,0.150625
select,0.6,30,2.0,2,960.0,0.1275,4.0,0.1515,4.0,0.1395
select,0.6,30,3.0,1,960.0,0.10875,6.0,0.147,6.0,0.127875
