forma,Rusd,K,cons_aprueba,cons_ev,cons_cobra,cons_vida,cons_neto_examen,opt_aprueba,opt_ev,opt_cobra,opt_vida,opt_neto_examen,min_neto
parcial 0.5R+BE+cierre,150,1,0.059666666666666666,571.3868984383272,0.551,206.05033333333333,-64.90724839317981,0.06366666666666666,731.1589569554754,0.5143333333333333,155.072,-52.449546407168064,-64.90724839317981
parcial 0.5R+BE+cierre,150,2,0.09166666666666666,554.1269099319074,0.5276666666666666,125.90833333333333,-48.20503325624182,0.060333333333333336,596.9585780500202,0.4533333333333333,89.357,-62.98349912431545,-62.98349912431545
parcial 0.5R+BE+cierre,150,3,0.09,490.3563826288401,0.49966666666666665,102.75766666666667,-54.86792556340439,0.05533333333333333,543.9349191992671,0.4033333333333333,65.27466666666666,-68.90226780430721,-68.90226780430721
parcial 0.5R+BE+cierre,250,1,0.06233333333333333,578.5582505919932,0.41533333333333333,90.01866666666666,-62.93653571309909,0.06733333333333333,808.1376072905506,0.41633333333333333,81.00433333333334,-44.58540110910293,-62.93653571309909
parcial 0.5R+BE+cierre,250,2,0.082,612.8730315822248,0.411,56.198,-48.74441141025756,0.06066666666666667,667.8257795800426,0.36233333333333334,44.207,-58.48523603881075,-58.48523603881075
parcial 0.5R+BE+cierre,250,3,0.087,526.8824321343151,0.388,45.665,-53.16122840431459,0.056666666666666664,565.4419154035913,0.31266666666666665,32.88,-66.95829146046316,-66.95829146046316
parcial 0.5R+BE+cierre,400,1,0.051333333333333335,639.485385914605,0.25166666666666665,53.493,-66.17308352305028,0.060333333333333336,938.1438858586077,0.26666666666666666,53.108,-42.398652219864,-66.17308352305028
parcial 0.5R+BE+cierre,400,2,0.07066666666666667,677.5139620468364,0.33366666666666667,29.285,-51.12234668202356,0.058,669.5629337179929,0.2936666666666667,24.144,-60.165349844356406,-60.165349844356406
parcial 0.5R+BE+cierre,400,3,0.068,638.0055919883376,0.3323333333333333,23.120333333333335,-55.61561974479304,0.048,667.1537073893145,0.2926666666666667,17.287333333333333,-66.9766220453129,-66.9766220453129
parcial 0.5R+BE+cierre,600,1,0.043333333333333335,713.4219275248057,0.16833333333333333,42.24666666666667,-68.08504980725841,0.055,1067.0740488837066,0.17766666666666667,45.565333333333335,-40.310927311396135,-68.08504980725841
parcial 0.5R+BE+cierre,600,2,0.06166666666666667,815.2953771854275,0.33766666666666667,16.59,-48.72345174023197,0.049,796.9303714421997,0.327,13.448,-59.950411799332215,-59.950411799332215
parcial 0.5R+BE+cierre,600,3,0.061,773.2458811787774,0.287,15.057333333333334,-51.83200124809458,0.041666666666666664,724.4674462356368,0.25766666666666665,11.657,-68.81385640684847,-68.81385640684847
parcial 1R+BE+cierre,100,1,0.076,673.8633575246305,0.621,349.056,-47.786384828128085,0.07566666666666666,528.6114571289476,0.4696666666666667,235.995,-59.001733077242974,-59.001733077242974
parcial 1R+BE+cierre,100,2,0.10733333333333334,718.0499206693967,0.6336666666666667,261.37166666666667,-21.92930851481809,0.107,396.54731133538576,0.4106666666666667,145.79566666666668,-56.56943768711373,-56.56943768711373
parcial 1R+BE+cierre,100,3,0.11166666666666666,684.9375008542522,0.6163333333333333,228.54466666666667,-22.51531240460851,0.09566666666666666,405.33127439485116,0.3913333333333333,116.73866666666666,-60.22330808289257,-60.22330808289257
parcial 1R+BE+cierre,150,1,0.109,645.9091916379721,0.569,135.79833333333335,-28.59589811146104,0.11466666666666667,960.7254916481413,0.6016666666666667,130.17233333333334,11.163189708986877,-28.59589811146104
parcial 1R+BE+cierre,150,2,0.13,627.1312558169654,0.5536666666666666,89.05966666666667,-17.47293674379449,0.12133333333333333,770.9445600983529,0.5396666666666666,74.54266666666666,-5.458726708066521,-17.47293674379449
parcial 1R+BE+cierre,150,3,0.12933333333333333,590.8506415768646,0.539,78.144,-22.58331702272551,0.10466666666666667,713.9136802777278,0.48966666666666664,55.884,-24.27703479759782,-24.27703479759782
parcial 1R+BE+cierre,250,1,0.09466666666666666,728.8183048758231,0.4593333333333333,62.75933333333333,-30.005200471755415,0.10966666666666666,935.0908347277083,0.4726666666666667,61.550333333333334,3.548294875138666,-30.005200471755415
parcial 1R+BE+cierre,250,2,0.10633333333333334,751.2464087936235,0.526,36.827666666666666,-19.11746519827804,0.109,884.0351616417598,0.5193333333333333,31.418333333333333,-2.6401673810481725,-19.11746519827804
parcial 1R+BE+cierre,250,3,0.10866666666666666,698.55938191512,0.488,32.75933333333333,-23.089880498556965,0.09033333333333333,802.5792424340353,0.457,25.528666666666666,-26.500341766792147,-26.500341766792147
parcial 1R+BE+cierre,400,1,0.075,892.189171535789,0.5123333333333333,25.236666666666668,-32.085812134815825,0.08633333333333333,982.7122742508673,0.52,24.184666666666665,-14.159173656341792,-32.085812134815825
parcial 1R+BE+cierre,400,2,0.08233333333333333,842.605127126331,0.44466666666666665,18.55,-29.62551119993209,0.083,903.8063124350673,0.425,16.809666666666665,-23.984076067889404,-29.62551119993209
