esc,modo,plan,Rusd,K,ev_3años,p_cobra,n_ret,vida_dias,ev_por_año_vida,p50,p90
opt,sin ventaja,select_flex,75,1,183.80214843642176,0.349,0.5943333333333334,365.9066666666667,126.58457914398466,0.0,610.9325619028524
opt,sin ventaja,select_flex,75,2,242.63910599191237,0.39966666666666667,0.7623333333333333,264.2753333333333,231.36875446804945,0.0,752.7418395380396
opt,sin ventaja,select_flex,75,3,326.3114789163477,0.4653333333333333,0.9823333333333333,245.86533333333333,334.4533837775135,0.0,993.1712271429503
opt,sin ventaja,select_flex,100,1,395.542315105602,0.5,1.139,192.662,517.3654555989852,112.51145038652106,1188.1770609037349
opt,sin ventaja,select_flex,100,2,312.6343477892031,0.43633333333333335,0.8643333333333333,114.39166666666667,688.7202358232317,0.0,931.051842924982
opt,sin ventaja,select_flex,100,3,403.56954158651916,0.49133333333333334,1.063,101.74433333333333,999.5595936199837,0.0,1193.6133192653929
opt,sin ventaja,select_flex,150,1,406.35661786041067,0.4746666666666667,0.8743333333333333,72.045,1421.3598126285444,0.0,1247.8432010204908
opt,sin ventaja,select_flex,150,2,420.4717534578,0.481,0.955,41.77733333333333,2536.276813695599,0.0,1290.511153550586
opt,sin ventaja,select_flex,150,3,452.90820576878247,0.4766666666666667,0.9083333333333333,36.547,3122.906609399765,0.0,1381.841173064064
opt,sin ventaja,select_flex,250,1,626.8074944615952,0.555,1.2796666666666667,27.845666666666666,5672.533916862779,271.88261326340194,1816.6771371074096
opt,sin ventaja,select_flex,250,2,451.0093749680655,0.41133333333333333,0.6566666666666666,17.326,6559.757733576849,0.0,1375.5206375651749
opt,sin ventaja,select_flex,250,3,490.3465018535395,0.4116666666666667,0.648,14.977,8250.471954803495,0.0,1473.7437242874105
opt,sin ventaja,select_flex,400,1,606.5102216905378,0.46366666666666667,0.791,13.271666666666667,11516.30610568998,0.0,1812.02863678481
opt,sin ventaja,select_flex,400,2,479.02337874863485,0.2633333333333333,0.38566666666666666,9.780333333333333,12342.51301366579,0.0,1581.3526675999576
opt,sin ventaja,select_flex,400,3,540.971977775524,0.281,0.422,8.663666666666666,15735.247400957876,0.0,1723.2943688610667
opt,sin ventaja,select_flex,600,1,696.993867912899,0.334,0.5493333333333333,9.066333333333333,19373.04180823382,0.0,2173.1051822340655
opt,sin ventaja,select_flex,600,2,531.3097307269362,0.17,0.285,7.378666666666667,18145.56181918882,0.0,1961.9800431927142
opt,sin ventaja,select_flex,600,3,590.706690255847,0.18366666666666667,0.31133333333333335,6.604333333333333,22539.45681287136,0.0,2141.8655440152074
opt,sin ventaja,select_flex,900,1,853.4179021049713,0.254,0.479,7.639666666666667,28150.614511599906,0.0,2250.0
opt,sin ventaja,select_flex,900,2,582.4432989750538,0.136,0.27366666666666667,6.508333333333334,22551.965891172375,0.0,2250.0
opt,sin ventaja,select_flex,900,3,691.4120147057553,0.14666666666666667,0.321,6.1466666666666665,28346.39279379344,0.0,2250.0
opt,sin ventaja,growth,75,1,3.6,0.0023333333333333335,0.0026666666666666666,383.287,2.3668947811952927,0.0,0.0
opt,sin ventaja,growth,75,2,5.85,0.004,0.004333333333333333,286.69466666666665,5.142055892215179,0.0,0.0
opt,sin ventaja,growth,75,3,12.6,0.008333333333333333,0.009333333333333334,274.95733333333334,11.547973503767857,0.0,0.0
opt,sin ventaja,growth,100,1,23.4,0.014,0.017333333333333333,225.32933333333332,26.169695320035267,0.0,0.0
opt,sin ventaja,growth,100,2,21.6,0.013666666666666667,0.016,131.12633333333332,41.51111269284838,0.0,0.0
opt,sin ventaja,growth,100,3,43.2,0.023666666666666666,0.03166666666666667,125.30766666666666,86.87736584353712,0.0,0.0
opt,sin ventaja,growth,150,1,99.0,0.046,0.072,94.736,263.3423408208073,0.0,0.0
opt,sin ventaja,growth,150,2,79.2,0.03966666666666667,0.058,54.52433333333333,366.04574104528257,0.0,0.0
