fase,plan,Robj,Rusd,K,G,cons_p,cons_dias,opt_p,opt_dias,colchon,cons_ev,cons_pcobra,cons_nret,opt_ev,opt_pcobra,opt_nret
fondeada,growth,2.0,100,5,1000000000.0,,249.923,,250.0,2500.0,28.35,0.0185,0.021,20.925,0.0145,0.0155
fondeada,growth,2.0,150,1,300.0,,249.9735,,249.9225,-1.0,292.24665845415785,0.162,0.216,422.5154917079044,0.2225,0.3105
fondeada,growth,2.0,150,1,300.0,,250.0,,250.0,2500.0,116.775,0.0725,0.0865,192.375,0.1085,0.1425
fondeada,growth,2.0,150,1,600.0,,249.9735,,249.9225,-1.0,292.24665845415785,0.162,0.216,422.5154917079044,0.2225,0.3105
fondeada,growth,2.0,150,1,600.0,,250.0,,250.0,2500.0,116.775,0.0725,0.0865,192.375,0.1085,0.1425
fondeada,growth,2.0,150,1,1200.0,,249.9735,,249.9225,-1.0,292.24665845415785,0.162,0.216,422.5154917079044,0.2225,0.3105
fondeada,growth,2.0,150,1,1200.0,,250.0,,250.0,2500.0,116.775,0.0725,0.0865,192.375,0.1085,0.1425
fondeada,growth,2.0,150,1,1000000000.0,,249.9735,,249.9225,-1.0,292.24665845415785,0.162,0.216,422.5154917079044,0.2225,0.3105
fondeada,growth,2.0,150,1,1000000000.0,,250.0,,250.0,2500.0,116.775,0.0725,0.0865,192.375,0.1085,0.1425
fondeada,growth,2.0,150,2,300.0,,249.721,,249.9285,-1.0,581.046280285599,0.258,0.4175,473.1177775624253,0.2125,0.3425
fondeada,growth,2.0,150,2,300.0,,249.889,,250.0,2500.0,340.875,0.169,0.252,278.1,0.1335,0.206
fondeada,growth,2.0,150,2,600.0,,249.721,,249.9285,-1.0,581.046280285599,0.258,0.4175,473.1177775624253,0.2125,0.3425
fondeada,growth,2.0,150,2,600.0,,249.889,,250.0,2500.0,340.875,0.169,0.252,278.1,0.1335,0.206
fondeada,growth,2.0,150,2,1200.0,,249.721,,249.9285,-1.0,581.046280285599,0.258,0.4175,473.1177775624253,0.2125,0.3425
fondeada,growth,2.0,150,2,1200.0,,249.889,,250.0,2500.0,340.875,0.169,0.252,278.1,0.1335,0.206
fondeada,growth,2.0,150,2,1000000000.0,,249.721,,249.9285,-1.0,581.046280285599,0.258,0.4175,473.1177775624253,0.2125,0.3425
fondeada,growth,2.0,150,2,1000000000.0,,249.889,,250.0,2500.0,340.875,0.169,0.252,278.1,0.1335,0.206
fondeada,growth,2.0,150,3,300.0,,249.878,,249.875,-1.0,575.6611127302607,0.2465,0.4135,361.7584540460467,0.172,0.26
fondeada,growth,2.0,150,3,300.0,,250.0,,250.0,2500.0,359.775,0.1745,0.266,225.45,0.108,0.1665
fondeada,growth,2.0,150,3,600.0,,249.8095,,249.873,-1.0,560.1855951578624,0.25,0.404,309.04620823792106,0.1535,0.224
fondeada,growth,2.0,150,3,600.0,,250.0,,250.0,2500.0,357.075,0.1765,0.2645,182.925,0.0925,0.135
fondeada,growth,2.0,150,3,1200.0,,249.8095,,249.873,-1.0,560.1855951578624,0.25,0.404,309.04620823792106,0.1535,0.224
fondeada,growth,2.0,150,3,1200.0,,250.0,,250.0,2500.0,357.075,0.1765,0.2645,182.925,0.0925,0.135
fondeada,growth,2.0,150,3,1000000000.0,,249.8095,,249.873,-1.0,560.1855951578624,0.25,0.404,309.04620823792106,0.1535,0.224
fondeada,growth,2.0,150,3,1000000000.0,,250.0,,250.0,2500.0,357.075,0.1765,0.2645,182.925,0.0925,0.135
fondeada,growth,2.0,150,5,300.0,,249.8465,,249.8,-1.0,564.2056049945372,0.2375,0.4055,451.4607672465252,0.1845,0.3185
fondeada,growth,2.0,150,5,300.0,,250.0,,250.0,2500.0,351.0,0.1615,0.2595,280.8,0.1265,0.2065
fondeada,growth,2.0,150,5,600.0,,249.96,,249.9115,-1.0,523.1072811815959,0.235,0.3775,371.2150477761984,0.166,0.2665
fondeada,growth,2.0,150,5,600.0,,250.0,,250.0,2500.0,327.375,0.159,0.242,232.2,0.109,0.17
fondeada,growth,2.0,150,5,1200.0,,249.96,,249.861,-1.0,523.1072811815959,0.236,0.3775,359.71081519447574,0.1635,0.2585
fondeada,growth,2.0,150,5,1200.0,,250.0,,250.0,2500.0,332.1,0.1595,0.2455,225.45,0.106,0.166
fondeada,growth,2.0,150,5,1000000000.0,,249.96,,249.861,-1.0,523.1072811815959,0.236,0.3775,359.71081519447574,0.1635,0.2585
fondeada,growth,2.0,150,5,1000000000.0,,250.0,,250.0,2500.0,332.1,0.1595,0.2455,225.45,0.106,0.166
fondeada,growth,2.0,250,1,300.0,,249.309,,249.312,-1.0,694.3045228875651,0.2575,0.483,658.4362960538286,0.2495,0.4605
fondeada,growth,2.0,250,1,300.0,,250.0,,250.0,2500.0,534.6,0.1885,0.38,524.475,0.1875,0.3725
