escenario,entrada,politica,colchon,p_aprobar,ev_fondeada,p_cobra,n_ret,dias,neto_cupo,neto_cupo_año
opt,fade 30 min (10:01),rápida (R600 S60 T120 K2),0,0.3607,386.1,0.17766666666666667,0.268,9.974666666666666,128.2680066537289,3240.563194433199
opt,fade 30 min (10:01),rápida (R600 S60 T120 K2),1000,0.3607,386.1,0.17766666666666667,0.268,9.974666666666666,128.2680066537289,3240.563194433199
opt,fade 30 min (10:01),rápida (R600 S60 T120 K2),2500,0.3607,326.925,0.13166666666666665,0.22066666666666668,11.072833333333334,69.09300665372888,1572.4464689922493
opt,fade 30 min (10:01),rápida (R600 S60 T120 K2),3500,0.3607,271.8,0.09866666666666667,0.18,12.023833333333334,13.968006653728878,292.7467122304044
opt,fade 30 min (10:01),lenta (R400 S90 T180 K1),-1,0.3607,391.5,0.17183333333333334,0.2713333333333333,22.2185,133.66800665372887,1516.0491336831774
opt,fade 30 min (10:01),lenta (R400 S90 T180 K1),0,0.3607,391.5,0.17183333333333334,0.2713333333333333,22.2185,133.66800665372887,1516.0491336831774
opt,fade 30 min (10:01),lenta (R400 S90 T180 K1),1000,0.3607,391.5,0.17183333333333334,0.2713333333333333,22.219833333333334,133.66800665372887,1515.958160955588
opt,fade 30 min (10:01),lenta (R400 S90 T180 K1),2500,0.3607,324.9,0.12133333333333333,0.2195,25.9065,67.06800665372884,652.3898510697959
opt,fade 30 min (10:01),lenta (R400 S90 T180 K1),3500,0.3607,267.525,0.08966666666666667,0.17666666666666667,28.590333333333334,9.693006653728844,85.43578867238351
cons,aleatoria 09:31,equilibrada (R250 S60 T180 K2),-1,0.3695,690.975,0.2475,0.4558333333333333,27.302333333333333,439.2835250338295,4054.5783013121604
